TITLE = "vncfd python"
VARIABLES = "X", "Y"
ZONE T="1", I= 157, J= 51
0,1,0
0,0.75,0
0,0.5,0
0,0.25,0
0,0,0
0,-0.25,0
0,-0.5,0
0,-0.75,0
0,-1,0
-0.225,-1.1625,0
-0.45,-1.325,0
-0.675,-1.4875,0
-0.9,-1.65,0
-1.125,-1.8125,0
-1.35,-1.975,0
-1.575,-2.1375,0
-1.8,-2.3,0
-2.025,-2.4625,0
-2.25,-2.625,0
-2.475,-2.7875,0
-2.7,-2.95,0
-2.925,-3.1125,0
-3.15,-3.275,0
-3.375,-3.4375,0
-3.6,-3.6,0
-3.825,-3.7625,0
-4.05,-3.925,0
-4.275,-4.0875,0
-4.5,-4.25,0
-4.725,-4.4125,0
-4.95,-4.575,0
-5.175,-4.7375,0
-5.4,-4.9,0
-5.625,-5.0625,0
-5.85,-5.225,0
-6.075,-5.3875,0
-6.3,-5.55,0
-6.525,-5.7125,0
-6.75,-5.875,0
-6.975,-6.0375,0
-7.2,-6.2,0
-7.425,-6.3625,0
-7.65,-6.525,0
-7.875,-6.6875,0
-8.1,-6.85,0
-8.325,-7.0125,0
-8.55,-7.175,0
-8.775,-7.3375,0
-9,-7.5,0
-9.25,-7.5,0
-9.5,-7.5,0
-9.75,-7.5,0
-10,-7.5,0
-10.25,-7.5,0
-10.5,-7.5,0
-10.75,-7.5,0
-11,-7.5,0
-11.112,-7.2258,0
-11.219,-6.95,0
-11.323,-6.6726,0
-11.422,-6.3936,0
-11.517,-6.1131,0
-11.608,-5.8313,0
-11.694,-5.5481,0
-11.776,-5.2636,0
-11.854,-4.9779,0
-11.927,-4.691,0
-11.996,-4.4031,0
-12.061,-4.1142,0
-12.121,-3.8243,0
-12.177,-3.5335,0
-12.229,-3.2419,0
-12.276,-2.9496,0
-12.318,-2.6566,0
-12.356,-2.3629,0
-12.39,-2.0688,0
-12.419,-1.7741,0
-12.444,-1.479,0
-12.464,-1.1836,0
-12.48,-0.88797,0
-12.491,-0.5921,0
-12.498,-0.29608,0
-12.5,0,0
-12.498,0.29608,0
-12.491,0.5921,0
-12.48,0.88797,0
-12.464,1.1836,0
-12.444,1.479,0
-12.419,1.7741,0
-12.39,2.0688,0
-12.356,2.3629,0
-12.318,2.6566,0
-12.276,2.9496,0
-12.229,3.2419,0
-12.177,3.5335,0
-12.121,3.8243,0
-12.061,4.1142,0
-11.996,4.4031,0
-11.927,4.691,0
-11.854,4.9779,0
-11.776,5.2636,0
-11.694,5.5481,0
-11.608,5.8313,0
-11.517,6.1131,0
-11.422,6.3936,0
-11.323,6.6726,0
-11.219,6.95,0
-11.112,7.2258,0
-11,7.5,0
-10.75,7.5,0
-10.5,7.5,0
-10.25,7.5,0
-10,7.5,0
-9.75,7.5,0
-9.5,7.5,0
-9.25,7.5,0
-9,7.5,0
-8.775,7.3375,0
-8.55,7.175,0
-8.325,7.0125,0
-8.1,6.85,0
-7.875,6.6875,0
-7.65,6.525,0
-7.425,6.3625,0
-7.2,6.2,0
-6.975,6.0375,0
-6.75,5.875,0
-6.525,5.7125,0
-6.3,5.55,0
-6.075,5.3875,0
-5.85,5.225,0
-5.625,5.0625,0
-5.4,4.9,0
-5.175,4.7375,0
-4.95,4.575,0
-4.725,4.4125,0
-4.5,4.25,0
-4.275,4.0875,0
-4.05,3.925,0
-3.825,3.7625,0
-3.6,3.6,0
-3.375,3.4375,0
-3.15,3.275,0
-2.925,3.1125,0
-2.7,2.95,0
-2.475,2.7875,0
-2.25,2.625,0
-2.025,2.4625,0
-1.8,2.3,0
-1.575,2.1375,0
-1.35,1.975,0
-1.125,1.8125,0
-0.9,1.65,0
-0.675,1.4875,0
-0.45,1.325,0
-0.225,1.1625,0
0,1,0
0.0087744,1.0046,0
0.0099318,0.75007,0
0.010032,0.5,0
0.010035,0.25,0
0.010035,0,0
0.010035,-0.25,0
0.010032,-0.5,0
0.0099318,-0.75007,0
0.0087744,-1.0046,0
-0.21915,-1.1705,0
-0.44414,-1.3331,0
-0.66914,-1.4956,0
-0.89414,-1.6581,0
-1.1191,-1.8206,0
-1.3441,-1.9831,0
-1.5691,-2.1456,0
-1.7941,-2.3081,0
-2.0191,-2.4706,0
-2.2441,-2.6331,0
-2.4691,-2.7956,0
-2.6941,-2.9581,0
-2.9191,-3.1206,0
-3.1441,-3.2831,0
-3.3691,-3.4456,0
-3.5941,-3.6081,0
-3.8191,-3.7706,0
-4.0441,-3.9331,0
-4.2691,-4.0956,0
-4.4941,-4.2581,0
-4.7191,-4.4206,0
-4.9441,-4.5831,0
-5.1691,-4.7456,0
-5.3941,-4.9081,0
-5.6191,-5.0706,0
-5.8441,-5.2331,0
-6.0691,-5.3956,0
-6.2941,-5.5581,0
-6.5191,-5.7206,0
-6.7441,-5.8831,0
-6.9691,-6.0456,0
-7.1941,-6.2081,0
-7.4191,-6.3706,0
-7.6441,-6.5331,0
-7.8691,-6.6956,0
-8.0941,-6.8581,0
-8.3191,-7.0206,0
-8.5441,-7.1831,0
-8.7692,-7.3456,0
-8.9969,-7.5091,0
-9.25,-7.51,0
-9.5,-7.51,0
-9.75,-7.51,0
-10,-7.51,0
-10.25,-7.51,0
-10.5,-7.51,0
-10.75,-7.5099,0
-11.006,-7.5085,0
-11.121,-7.2295,0
-11.229,-6.9535,0
-11.332,-6.676,0
-11.431,-6.3968,0
-11.526,-6.1162,0
-11.617,-5.8342,0
-11.704,-5.5509,0
-11.786,-5.2663,0
-11.864,-4.9804,0
-11.937,-4.6934,0
-12.006,-4.4053,0
-12.071,-4.1163,0
-12.131,-3.8262,0
-12.187,-3.5353,0
-12.238,-3.2436,0
-12.285,-2.9511,0
-12.328,-2.6579,0
-12.366,-2.3641,0
-12.4,-2.0698,0
-12.429,-1.775,0
-12.454,-1.4798,0
-12.474,-1.1842,0
-12.49,-0.88843,0
-12.501,-0.5924,0
-12.508,-0.29623,0
-12.51,6.5323e-17,0
-12.508,0.29623,0
-12.501,0.5924,0
-12.49,0.88843,0
-12.474,1.1842,0
-12.454,1.4798,0
-12.429,1.775,0
-12.4,2.0698,0
-12.366,2.3641,0
-12.328,2.6579,0
-12.285,2.9511,0
-12.238,3.2436,0
-12.187,3.5353,0
-12.131,3.8262,0
-12.071,4.1163,0
-12.006,4.4053,0
-11.937,4.6934,0
-11.864,4.9804,0
-11.786,5.2663,0
-11.704,5.5509,0
-11.617,5.8342,0
-11.526,6.1162,0
-11.431,6.3968,0
-11.332,6.676,0
-11.229,6.9535,0
-11.121,7.2295,0
-11.006,7.5085,0
-10.75,7.5099,0
-10.5,7.51,0
-10.25,7.51,0
-10,7.51,0
-9.75,7.51,0
-9.5,7.51,0
-9.25,7.51,0
-8.9969,7.5091,0
-8.7692,7.3456,0
-8.5441,7.1831,0
-8.3191,7.0206,0
-8.0941,6.8581,0
-7.8691,6.6956,0
-7.6441,6.5331,0
-7.4191,6.3706,0
-7.1941,6.2081,0
-6.9691,6.0456,0
-6.7441,5.8831,0
-6.5191,5.7206,0
-6.2941,5.5581,0
-6.0691,5.3956,0
-5.8441,5.2331,0
-5.6191,5.0706,0
-5.3941,4.9081,0
-5.1691,4.7456,0
-4.9441,4.5831,0
-4.7191,4.4206,0
-4.4941,4.2581,0
-4.2691,4.0956,0
-4.0441,3.9331,0
-3.8191,3.7706,0
-3.5941,3.6081,0
-3.3691,3.4456,0
-3.1441,3.2831,0
-2.9191,3.1206,0
-2.6941,2.9581,0
-2.4691,2.7956,0
-2.2441,2.6331,0
-2.0191,2.4706,0
-1.7941,2.3081,0
-1.5691,2.1456,0
-1.3441,1.9831,0
-1.1191,1.8206,0
-0.89414,1.6581,0
-0.66914,1.4956,0
-0.44414,1.3331,0
-0.21915,1.1705,0
0.0087744,1.0046,0
0.018723,1.01,0
0.021761,0.75026,0
0.022122,0.50002,0
0.022135,0.25,0
0.022135,-1.0842e-19,0
0.022135,-0.25,0
0.022122,-0.50002,0
0.021761,-0.75026,0
0.018723,-1.01,0
-0.21211,-1.18,0
-0.4371,-1.3428,0
-0.6621,-1.5054,0
-0.8871,-1.6679,0
-1.1121,-1.8304,0
-1.3371,-1.9929,0
-1.5621,-2.1554,0
-1.7871,-2.3179,0
-2.0121,-2.4804,0
-2.2371,-2.6429,0
-2.4621,-2.8054,0
-2.6871,-2.9679,0
-2.9121,-3.1304,0
-3.1371,-3.2929,0
-3.3621,-3.4554,0
-3.5871,-3.6179,0
-3.8121,-3.7804,0
-4.0371,-3.9429,0
-4.2621,-4.1054,0
-4.4871,-4.2679,0
-4.7121,-4.4304,0
-4.9371,-4.5929,0
-5.1621,-4.7554,0
-5.3871,-4.9179,0
-5.6121,-5.0804,0
-5.8371,-5.2429,0
-6.0621,-5.4054,0
-6.2871,-5.5679,0
-6.5121,-5.7304,0
-6.7371,-5.8929,0
-6.9621,-6.0554,0
-7.1871,-6.2179,0
-7.4121,-6.3804,0
-7.6371,-6.5429,0
-7.8621,-6.7054,0
-8.0871,-6.8679,0
-8.3121,-7.0304,0
-8.5371,-7.1929,0
-8.7623,-7.3553,0
-8.9932,-7.5197,0
-9.2498,-7.5219,0
-9.5,-7.5221,0
-9.75,-7.5221,0
-10,-7.5221,0
-10.25,-7.5221,0
-10.5,-7.5221,0
-10.75,-7.5217,0
-11.013,-7.518,0
-11.132,-7.234,0
-11.24,-6.9578,0
-11.343,-6.68,0
-11.443,-6.4008,0
-11.538,-6.12,0
-11.629,-5.8378,0
-11.715,-5.5543,0
-11.797,-5.2695,0
-11.875,-4.9835,0
-11.949,-4.6963,0
-12.018,-4.408,0
-12.082,-4.1188,0
-12.143,-3.8286,0
-12.199,-3.5375,0
-12.25,-3.2455,0
-12.297,-2.9529,0
-12.34,-2.6595,0
-12.378,-2.3656,0
-12.412,-2.0711,0
-12.441,-1.7761,0
-12.466,-1.4807,0
-12.486,-1.185,0
-12.502,-0.88897,0
-12.513,-0.59276,0
-12.52,-0.29641,0
-12.522,1.452e-16,0
-12.52,0.29641,0
-12.513,0.59276,0
-12.502,0.88897,0
-12.486,1.185,0
-12.466,1.4807,0
-12.441,1.7761,0
-12.412,2.0711,0
-12.378,2.3656,0
-12.34,2.6595,0
-12.297,2.9529,0
-12.25,3.2455,0
-12.199,3.5375,0
-12.143,3.8286,0
-12.082,4.1188,0
-12.018,4.408,0
-11.949,4.6963,0
-11.875,4.9835,0
-11.797,5.2695,0
-11.715,5.5543,0
-11.629,5.8378,0
-11.538,6.12,0
-11.443,6.4008,0
-11.343,6.68,0
-11.24,6.9578,0
-11.132,7.234,0
-11.013,7.518,0
-10.75,7.5217,0
-10.5,7.5221,0
-10.25,7.5221,0
-10,7.5221,0
-9.75,7.5221,0
-9.5,7.5221,0
-9.2498,7.5219,0
-8.9932,7.5197,0
-8.7623,7.3553,0
-8.5371,7.1929,0
-8.3121,7.0304,0
-8.0871,6.8679,0
-7.8621,6.7054,0
-7.6371,6.5429,0
-7.4121,6.3804,0
-7.1871,6.2179,0
-6.9621,6.0554,0
-6.7371,5.8929,0
-6.5121,5.7304,0
-6.2871,5.5679,0
-6.0621,5.4054,0
-5.8371,5.2429,0
-5.6121,5.0804,0
-5.3871,4.9179,0
-5.1621,4.7554,0
-4.9371,4.5929,0
-4.7121,4.4304,0
-4.4871,4.2679,0
-4.2621,4.1054,0
-4.0371,3.9429,0
-3.8121,3.7804,0
-3.5871,3.6179,0
-3.3621,3.4554,0
-3.1371,3.2929,0
-2.9121,3.1304,0
-2.6871,2.9679,0
-2.4621,2.8054,0
-2.2371,2.6429,0
-2.0121,2.4804,0
-1.7871,2.3179,0
-1.5621,2.1554,0
-1.3371,1.9929,0
-1.1121,1.8304,0
-0.8871,1.6679,0
-0.6621,1.5054,0
-0.4371,1.3428,0
-0.21211,1.18,0
0.018723,1.01,0
0.029972,1.0163,0
0.035814,0.75068,0
0.036683,0.50005,0
0.036729,0.25,0
0.036731,-4.3368e-19,0
0.036729,-0.25,0
0.036683,-0.50005,0
0.035814,-0.75068,0
0.029972,-1.0163,0
-0.20364,-1.1911,0
-0.42863,-1.3545,0
-0.65364,-1.5171,0
-0.87864,-1.6796,0
-1.1036,-1.8421,0
-1.3286,-2.0046,0
-1.5536,-2.1671,0
-1.7786,-2.3296,0
-2.0036,-2.4921,0
-2.2286,-2.6546,0
-2.4536,-2.8171,0
-2.6786,-2.9796,0
-2.9036,-3.1421,0
-3.1286,-3.3046,0
-3.3536,-3.4671,0
-3.5786,-3.6296,0
-3.8036,-3.7921,0
-4.0286,-3.9546,0
-4.2536,-4.1171,0
-4.4786,-4.2796,0
-4.7036,-4.4421,0
-4.9286,-4.6046,0
-5.1536,-4.7671,0
-5.3786,-4.9296,0
-5.6036,-5.0921,0
-5.8286,-5.2546,0
-6.0536,-5.4171,0
-6.2786,-5.5796,0
-6.5036,-5.7421,0
-6.7286,-5.9046,0
-6.9536,-6.0671,0
-7.1786,-6.2296,0
-7.4036,-6.3921,0
-7.6286,-6.5546,0
-7.8536,-6.7171,0
-8.0786,-6.8796,0
-8.3036,-7.0421,0
-8.5287,-7.2046,0
-8.7542,-7.3669,0
-8.9889,-7.5319,0
-9.2495,-7.5361,0
-9.5,-7.5367,0
-9.75,-7.5367,0
-10,-7.5367,0
-10.25,-7.5367,0
-10.5,-7.5367,0
-10.751,-7.5356,0
-11.021,-7.5284,0
-11.144,-7.2395,0
-11.253,-6.9629,0
-11.357,-6.6849,0
-11.456,-6.4054,0
-11.551,-6.1245,0
-11.642,-5.8421,0
-11.729,-5.5584,0
-11.811,-5.2733,0
-11.889,-4.9871,0
-11.962,-4.6997,0
-12.032,-4.4113,0
-12.096,-4.1218,0
-12.157,-3.8314,0
-12.213,-3.5401,0
-12.264,-3.2479,0
-12.311,-2.955,0
-12.354,-2.6615,0
-12.392,-2.3673,0
-12.426,-2.0726,0
-12.455,-1.7774,0
-12.48,-1.4818,0
-12.5,-1.1858,0
-12.516,-0.88962,0
-12.527,-0.59319,0
-12.534,-0.29663,0
-12.536,2.4056e-16,0
-12.534,0.29663,0
-12.527,0.59319,0
-12.516,0.88962,0
-12.5,1.1858,0
-12.48,1.4818,0
-12.455,1.7774,0
-12.426,2.0726,0
-12.392,2.3673,0
-12.354,2.6615,0
-12.311,2.955,0
-12.264,3.2479,0
-12.213,3.5401,0
-12.157,3.8314,0
-12.096,4.1218,0
-12.032,4.4113,0
-11.962,4.6997,0
-11.889,4.9871,0
-11.811,5.2733,0
-11.729,5.5584,0
-11.642,5.8421,0
-11.551,6.1245,0
-11.456,6.4054,0
-11.357,6.6849,0
-11.253,6.9629,0
-11.144,7.2395,0
-11.021,7.5284,0
-10.751,7.5356,0
-10.5,7.5367,0
-10.25,7.5367,0
-10,7.5367,0
-9.75,7.5367,0
-9.5,7.5367,0
-9.2495,7.5361,0
-8.9889,7.5319,0
-8.7542,7.3669,0
-8.5287,7.2046,0
-8.3036,7.0421,0
-8.0786,6.8796,0
-7.8536,6.7171,0
-7.6286,6.5546,0
-7.4036,6.3921,0
-7.1786,6.2296,0
-6.9536,6.0671,0
-6.7286,5.9046,0
-6.5036,5.7421,0
-6.2786,5.5796,0
-6.0536,5.4171,0
-5.8286,5.2546,0
-5.6036,5.0921,0
-5.3786,4.9296,0
-5.1536,4.7671,0
-4.9286,4.6046,0
-4.7036,4.4421,0
-4.4786,4.2796,0
-4.2536,4.1171,0
-4.0286,3.9546,0
-3.8036,3.7921,0
-3.5786,3.6296,0
-3.3536,3.4671,0
