"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
0.20894,-2.6963,310.17,27032,0.72881,450.72,0,1,0
0.21845,-2.1232,271.87,28928,0.63283,460.88,0,0.75,0
0.23644,-1.7043,204.07,32589,0.46541,479.84,0,0.5,0
0.25241,-2.2291,141.23,36191,0.3162,499.18,0,0.25,0
0.26458,-3.5874,57.648,40680,0.12839,535.18,0,0,0
0.26809,-3.7074,-43.2,41066,0.1132,533.52,0,-0.25,0
0.25899,-2.6374,-131.6,37042,0.29499,497.99,0,-0.5,0
0.24098,-3.0749,-216.68,33154,0.49529,478.83,0,-0.75,0
0.16897,-105.15,-224.41,22115,0.63788,448.9,0,-1,0
0.11875,-139.46,-121.41,15669,0.43861,456.97,-0.225,-1.1625,0
0.138,-34.029,-29.068,19000,0.10994,479.87,-0.45,-1.325,0
0.15401,27.378,17.099,20096,0.077857,455.66,-0.675,-1.4875,0
0.16451,65.526,45.611,20353,0.19209,431.05,-0.9,-1.65,0
0.16674,90.547,64.292,20331,0.26884,424.77,-1.125,-1.8125,0
0.16677,107.08,76.625,20229,0.31954,422.55,-1.35,-1.975,0
0.1665,117.61,84.51,20144,0.35189,421.49,-1.575,-2.1375,0
0.16653,123.39,88.907,20136,0.36965,421.22,-1.8,-2.3,0
0.16711,125.02,90.276,20229,0.3746,421.7,-2.025,-2.4625,0
0.16827,122.95,88.945,20425,0.36813,422.84,-2.25,-2.625,0
0.16992,117.71,85.302,20705,0.35197,424.47,-2.475,-2.7875,0
0.17188,109.95,79.82,21036,0.32826,426.36,-2.7,-2.95,0
0.17394,100.4,73.009,21384,0.29925,428.28,-2.925,-3.1125,0
0.17593,89.706,65.342,21718,0.26698,430.04,-3.15,-3.275,0
0.17775,78.385,57.201,22021,0.23302,431.57,-3.375,-3.4375,0
0.17935,66.796,48.85,22283,0.19843,432.82,-3.6,-3.6,0
0.1807,55.161,40.454,22502,0.16384,433.81,-3.825,-3.7625,0
0.1818,43.604,32.108,22677,0.12959,434.54,-4.05,-3.925,0
0.18268,32.156,23.84,22814,0.095737,435.05,-4.275,-4.0875,0
0.18337,20.744,15.602,22917,0.062056,435.39,-4.5,-4.25,0
0.18389,9.2313,7.2996,22990,0.028146,435.53,-4.725,-4.4125,0
0.18419,-2.4573,-1.1315,23024,0.01741,435.45,-4.95,-4.575,0
0.18419,-14.234,-9.6377,23009,0.041114,435.17,-5.175,-4.7375,0
0.18387,-25.879,-18.064,22939,0.075522,434.63,-5.4,-4.9,0
0.18324,-37.057,-26.178,22816,0.10868,433.76,-5.625,-5.0625,0
0.18239,-47.424,-33.722,22653,0.13956,432.66,-5.85,-5.225,0
0.18147,-56.85,-40.584,22477,0.16775,431.5,-6.075,-5.3875,0
0.18052,-65.432,-46.826,22300,0.19349,430.33,-6.3,-5.55,0
0.1796,-73.383,-52.598,22128,0.2174,429.21,-6.525,-5.7125,0
0.1787,-80.997,-58.109,21961,0.24033,428.13,-6.75,-5.875,0
0.17779,-88.614,-63.604,21795,0.26331,427.05,-6.975,-6.0375,0
0.17683,-96.628,-69.364,21620,0.28751,425.94,-7.2,-6.2,0
0.17571,-105.48,-75.707,21420,0.31428,424.7,-7.425,-6.3625,0
0.17429,-115.58,-82.945,21173,0.34498,423.21,-7.65,-6.525,0
0.17235,-127.27,-91.324,20842,0.38073,421.28,-7.875,-6.6875,0
0.1695,-140.22,-100.69,20365,0.42097,418.53,-8.1,-6.85,0
0.1646,-150.04,-108.3,19582,0.4535,414.38,-8.325,-7.0125,0
0.15014,-130.2,-97.24,17941,0.39759,416.64,-8.55,-7.175,0
0.11273,23.795,-9.5659,13284,0.37596,407.23,-8.775,-7.3375,0
0.13721,235.26,32.529,14802,0.62143,380.47,-9,-7.5,0
0.18167,323.59,0.25412,18925,0.84776,362.73,-9.25,-7.5,0
0.16751,351.23,-0.082229,16887,0.93597,350.87,-9.5,-7.5,0
0.15077,391.25,0.42031,14586,1.0646,336.59,-9.75,-7.5,0
0.1339,426.81,0.80935,12390,1.1873,321.91,-10,-7.5,0
0.11932,453.72,0.25917,10590,1.2883,308.86,-10.25,-7.5,0
0.10892,474.41,-9.6618,9298.5,1.3737,297.19,-10.5,-7.5,0
0.13148,433.88,-131.82,11186,1.3633,295.55,-10.75,-7.5,0
1.1021,255.21,-273.92,1.258e+05,1.0633,352.43,-11,-7.5,0
2.1347,112.6,-278.54,2.4814e+05,0.74477,404.95,-11.112,-7.2258,0
2.2611,93.488,-243.67,2.6411e+05,0.64553,406.88,-11.219,-6.95,0
2.329,82.674,-225.37,2.7492e+05,0.59062,411.19,-11.323,-6.6726,0
2.3828,73.357,-210.44,2.8382e+05,0.5458,414.93,-11.422,-6.3936,0
2.426,65.72,-197.63,2.9101e+05,0.50827,417.88,-11.517,-6.1131,0
2.4643,58.624,-186.03,2.9744e+05,0.47455,420.47,-11.608,-5.8313,0
2.4991,52.213,-175.31,3.0326e+05,0.44381,422.74,-11.694,-5.5481,0
2.5288,46.71,-165.29,3.0827e+05,0.41582,424.66,-11.776,-5.2636,0
2.5562,41.353,-155.53,3.1293e+05,0.38876,426.48,-11.854,-4.9779,0
2.5814,36.371,-145.87,3.1726e+05,0.36245,428.14,-11.927,-4.691,0
2.6033,32.022,-136.44,3.2103e+05,0.33731,429.59,-11.996,-4.4031,0
2.6238,27.81,-127.23,3.2458e+05,0.31296,430.94,-12.061,-4.1142,0
2.6428,23.913,-118.06,3.2788e+05,0.28905,432.19,-12.121,-3.8243,0
2.6594,20.538,-109.02,3.3076e+05,0.26586,433.28,-12.177,-3.5335,0
2.6741,17.246,-99.786,3.3342e+05,0.24239,434.36,-12.229,-3.2419,0
2.688,14.057,-90.29,3.3594e+05,0.21846,435.39,-12.276,-2.9496,0
2.7011,11.396,-81.245,3.3818e+05,0.19596,436.16,-12.318,-2.6566,0
2.7124,9.2103,-72.581,3.4011e+05,0.17463,436.82,-12.356,-2.3629,0
2.722,7.1628,-63.841,3.4184e+05,0.15322,437.49,-12.39,-2.0688,0
2.7304,5.3647,-55.019,3.4336e+05,0.13175,438.09,-12.419,-1.7741,0
2.7374,3.8543,-46.146,3.4465e+05,0.1103,438.61,-12.444,-1.479,0
2.7431,2.6003,-37.227,3.4572e+05,0.088843,439.06,-12.464,-1.1836,0
2.7473,1.6318,-28.261,3.4656e+05,0.067364,439.45,-12.48,-0.88797,0
2.7499,0.92184,-19.253,3.4718e+05,0.045848,439.82,-12.491,-0.5921,0
2.7502,0.50056,-10.195,3.4758e+05,0.024269,440.28,-12.498,-0.29608,0
2.762,0.34136,-1.0701,3.4778e+05,0.010944,438.66,-12.5,0,0
2.7705,0.47298,8.1043,3.4771e+05,0.019365,437.22,-12.498,0.29608,0
2.7643,0.86412,17.253,3.4734e+05,0.041186,437.73,-12.491,0.5921,0
2.7595,1.5472,26.34,3.4675e+05,0.062909,437.75,-12.48,0.88797,0
2.754,2.4908,35.38,3.4594e+05,0.084579,437.59,-12.464,1.1836,0
2.7476,3.7221,44.371,3.449e+05,0.10622,437.3,-12.444,1.479,0
2.74,5.2118,53.316,3.4364e+05,0.12785,436.91,-12.419,1.7741,0
2.7312,6.9913,62.208,3.4215e+05,0.14949,436.41,-12.39,2.0688,0
2.7212,9.0221,71.019,3.4043e+05,0.17107,435.82,-12.356,2.3629,0
2.7097,11.196,79.752,3.3852e+05,0.19258,435.22,-12.318,2.6566,0
2.6963,13.844,88.869,3.363e+05,0.21525,434.5,-12.276,2.9496,0
2.6822,17.022,98.444,3.3379e+05,0.23936,433.53,-12.229,3.2419,0
2.6671,20.306,107.75,3.3113e+05,0.26301,432.5,-12.177,3.5335,0
2.6504,23.677,116.86,3.2825e+05,0.28637,431.45,-12.121,3.8243,0
2.6311,27.569,126.1,3.2495e+05,0.31044,430.23,-12.061,4.1142,0
2.6104,31.778,135.38,3.2139e+05,0.33495,428.91,-11.996,4.4031,0
2.5883,36.129,144.88,3.1761e+05,0.36026,427.48,-11.927,4.691,0
2.5628,41.112,154.6,3.1328e+05,0.38673,425.84,-11.854,4.9779,0
2.5352,46.471,164.43,3.086e+05,0.41395,424.04,-11.776,5.2636,0
2.5052,51.981,174.51,3.0357e+05,0.44212,422.13,-11.694,5.5481,0
2.4702,58.4,185.31,2.9773e+05,0.47304,419.87,-11.608,5.8313,0
2.4316,65.509,196.98,2.9127e+05,0.50696,417.3,-11.517,6.1131,0
2.3879,73.166,209.88,2.8404e+05,0.54473,414.36,-11.422,6.3936,0
2.3337,82.509,224.9,2.751e+05,0.58981,410.63,-11.323,6.6726,0
2.2651,93.361,243.33,2.6421e+05,0.64507,406.31,-11.219,6.95,0
2.1376,112.55,278.4,2.4809e+05,0.74498,404.32,-11.112,7.2258,0
1.1036,254.83,273.41,1.2584e+05,1.0583,353.74,-11,7.5,0
0.13532,431.85,130.3,11488,1.3603,294.24,-10.75,7.5,0
0.11677,469.55,8.5513,9790,1.3722,291.8,-10.5,7.5,0
0.12901,447.2,-0.41052,11255,1.2807,303.61,-10.25,7.5,0
0.14499,420.72,-0.88004,13153,1.1819,315.64,-10,7.5,0
0.16277,387.12,-0.47336,15396,1.0652,329.11,-9.75,7.5,0
0.18003,350.63,-0.017341,17702,0.94596,342.27,-9.5,7.5,0
0.19372,330.17,-0.54127,19628,0.87689,352.85,-9.25,7.5,0
0.13973,264.31,-45.946,14431,0.71975,361.66,-9,7.5,0
0.10378,55.266,-8.8316,11917,0.42924,393.75,-8.775,7.3375,0
0.14,-121.1,91.62,16578,0.37364,413.26,-8.55,7.175,0
0.15604,-150.43,108.83,18249,0.45889,407.39,-8.325,7.0125,0
0.16114,-143.13,102.86,19033,0.4335,411.46,-8.1,6.85,0
0.164,-130.75,93.856,19508,0.39443,414.37,-7.875,6.6875,0
0.16591,-119.29,85.634,19831,0.35899,416.38,-7.65,6.525,0
0.16728,-109.43,78.584,20067,0.32877,417.89,-7.425,6.3625,0
0.1683,-101,72.553,20247,0.30304,419.1,-7.2,6.2,0
0.16913,-93.651,67.284,20396,0.28065,420.12,-6.975,6.0375,0
0.16985,-86.991,62.497,20530,0.2604,421.06,-6.75,5.875,0
0.17057,-80.628,57.905,20662,0.24105,421.99,-6.525,5.7125,0
0.17135,-74.12,53.184,20807,0.22127,423,-6.3,5.55,0
0.17224,-67.003,47.998,20971,0.19964,424.14,-6.075,5.3875,0
0.17324,-58.867,42.055,21155,0.17498,425.42,-5.85,5.225,0
0.17426,-49.447,35.173,21348,0.14654,426.76,-5.625,5.0625,0
0.17525,-38.619,27.27,21535,0.114,428.09,-5.4,4.9,0
0.17599,-26.578,18.515,21680,0.078007,429.14,-5.175,4.7375,0
0.17634,-13.893,9.3342,21753,0.040287,429.74,-4.95,4.575,0
0.17628,-1.1549,0.14441,21757,0.018792,429.97,-4.725,4.4125,0
0.17586,11.246,-8.7832,21703,0.034342,429.9,-4.5,4.25,0
0.17525,23.179,-17.376,21611,0.069725,429.59,-4.275,4.0875,0
0.17451,34.822,-25.774,21498,0.10432,429.15,-4.05,3.925,0
0.1736,46.446,-34.169,21356,0.13895,428.57,-3.825,3.7625,0
0.17245,58.162,-42.626,21175,0.17393,427.76,-3.6,3.6,0
0.17103,69.859,-51.056,20948,0.20897,426.67,-3.375,3.4375,0
0.1694,81.303,-59.29,20682,0.24341,425.31,-3.15,3.275,0
0.16762,92.287,-67.184,20390,0.27663,423.76,-2.925,3.1125,0
0.16575,102.65,-74.617,20082,0.30815,422.06,-2.7,2.95,0
