"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1798,0.95348,3.7372,1.003e+05,0.011179,296.18,1,0,0
1.1801,1.7399,7.411,1.0027e+05,0.022077,295.99,0.99452,-0.10453,0
1.1803,4.0689,14.55,1.0018e+05,0.043862,295.68,0.97815,-0.20791,0
1.1797,7.8489,21.105,1.0005e+05,0.065415,295.47,0.95106,-0.30902,0
1.1784,12.922,26.761,99896,0.086369,295.31,0.91355,-0.40674,0
1.1769,19.066,31.25,99712,0.10643,295.15,0.86602,-0.5,0
1.1752,26.01,34.363,99513,0.12533,294.98,0.80902,-0.58779,0
1.1735,33.448,35.959,99309,0.14286,294.82,0.74314,-0.66913,0
1.1718,41.052,35.969,99113,0.15882,294.66,0.66913,-0.74314,0
1.1702,48.488,34.394,98937,0.17302,294.53,0.58779,-0.80902,0
1.1689,55.432,31.306,98793,0.18532,294.43,0.5,-0.86602,0
1.168,61.576,26.839,98694,0.19556,294.37,0.40674,-0.91355,0
1.1675,66.649,21.19,98649,0.20361,294.37,0.30902,-0.95106,0
1.1675,70.421,14.608,98668,0.20936,294.42,0.20791,-0.97815,0
1.168,72.72,7.3859,98756,0.21274,294.54,0.10453,-0.99452,0
1.1692,73.441,-0.15433,98914,0.21369,294.72,0,-1,0
1.171,72.55,-7.6746,99145,0.21218,294.96,-0.10453,-0.99452,0
1.1733,70.085,-14.838,99443,0.20825,295.25,-0.20791,-0.97815,0
1.1762,66.162,-21.324,99802,0.20195,295.6,-0.30902,-0.95106,0
1.1794,60.964,-26.847,1.0021e+05,0.1934,296,-0.40674,-0.91355,0
1.183,54.73,-31.166,1.0066e+05,0.18272,296.43,-0.5,-0.86602,0
1.1867,47.738,-34.099,1.0113e+05,0.17007,296.88,-0.58779,-0.80902,0
1.1905,40.3,-35.526,1.0161e+05,0.15562,297.33,-0.66913,-0.74314,0
1.1942,32.742,-35.393,1.0208e+05,0.13956,297.77,-0.74314,-0.66913,0
1.1977,25.394,-33.718,1.0252e+05,0.1221,298.18,-0.80902,-0.58779,0
1.2009,18.571,-30.586,1.0292e+05,0.10344,298.56,-0.86602,-0.5,0
1.2036,12.563,-26.145,1.0326e+05,0.083797,298.88,-0.91355,-0.40674,0
1.2058,7.6209,-20.597,1.0354e+05,0.06341,299.13,-0.95106,-0.30902,0
1.2074,3.9467,-14.197,1.0374e+05,0.042516,299.32,-0.97815,-0.20791,0
1.2083,1.6853,-7.2324,1.0385e+05,0.02141,299.42,-0.99452,-0.10453,0
1.2086,0.92198,-0.00014603,1.0389e+05,0.010846,299.46,-1,-0,0
