"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.2041,660,0,1.0132e+05,1.9229,293.15,0,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.1,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.2,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.3,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.4,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.5,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.6,0,0
1.2041,660,0,1.0132e+05,1.9229,293.15,0.7,0,0
1.2041,660,-5e-07,1.0132e+05,1.9229,293.15,0.8,0,0
1.2041,660,-1.5e-06,1.0132e+05,1.9229,293.15,0.9,0,0
1.2041,660,-4.5e-06,1.0133e+05,1.9229,293.15,1,0,0
1.2041,660,-1.45e-05,1.0133e+05,1.9229,293.15,1.1,0,0
1.2041,660,-4.4e-05,1.0133e+05,1.9229,293.15,1.2,0,0
1.2041,660,-0.000126,1.0133e+05,1.9229,293.15,1.3,0,0
1.2041,659.99,-0.000317,1.0133e+05,1.9228,293.16,1.4,0,0
1.2042,659.98,-0.0005945,1.0134e+05,1.9227,293.19,1.5,0,0
1.2043,659.92,-4.3e-05,1.0139e+05,1.9221,293.3,1.6,0,0
1.2046,659.7,0.0076775,1.0156e+05,1.9202,293.71,1.7,0,0
1.2057,658.96,0.05654,1.0215e+05,1.9134,295.14,1.8,0,0
1.209,656.36,0.31524,1.0422e+05,1.8896,300.29,1.9,0,0
1.4046,623.28,13.821,1.3096e+05,1.737,322.34,2,0,0
1.7474,569.54,42.502,1.7673e+05,1.522,351.38,2.1,0.026795,0
1.99,531.91,71.254,2.1069e+05,1.3955,368.54,2.2,0.05359,0
2.1228,509.35,94.573,2.2982e+05,1.3311,377.11,2.3,0.080385,0
2.1679,499.39,111.2,2.3627e+05,1.3099,379.66,2.4,0.10718,0
2.1638,497.4,122.02,2.3537e+05,1.3125,378.92,2.5,0.13397,0
2.142,498.96,128.59,2.3183e+05,1.3237,377.05,2.6,0.16077,0
2.1188,501.38,132.37,2.282e+05,1.3354,375.2,2.7,0.18756,0
2.1002,503.55,134.44,2.2534e+05,1.3447,373.78,2.8,0.21436,0
2.0869,505.19,135.49,2.2333e+05,1.3513,372.8,2.9,0.24115,0
2.078,506.33,135.99,2.22e+05,1.3556,372.17,3,0.26795,0
2.0722,507.1,136.21,2.2115e+05,1.3584,371.79,3.1,0.29474,0
2.0683,507.62,136.29,2.206e+05,1.3602,371.55,3.2,0.32154,0
2.0656,508.02,136.31,2.2021e+05,1.3615,371.4,3.3,0.34833,0
2.0632,508.38,136.34,2.1989e+05,1.3626,371.28,3.4,0.37513,0
2.0609,508.77,136.37,2.1957e+05,1.3638,371.16,3.5,0.40192,0
2.0581,509.24,136.44,2.1919e+05,1.3653,371.02,3.6,0.42872,0
2.0548,509.83,136.55,2.1872e+05,1.3672,370.82,3.7,0.45551,0
2.0501,510.68,136.72,2.18e+05,1.3702,370.45,3.8,0.48231,0
2.0405,512.51,137.13,2.1626e+05,1.3773,369.21,3.9,0.5091,0
