"rho","u","v","p","Mach","T","Points:0","Points:1","Points:2"
1.1896,48.124,6.8348,1.0108e+05,0.14094,295.99,1,-0.00126,0
1.1904,47.81,6.7544,1.0113e+05,0.14001,295.95,0.9901,-0.002641,0
1.1912,47.155,6.5677,1.0119e+05,0.13806,295.93,0.97914,-0.00415,0
1.1914,46.527,6.3604,1.0121e+05,0.13617,295.95,0.96704,-0.005792,0
1.1914,46.024,6.1674,1.0122e+05,0.13464,295.97,0.95372,-0.007573,0
1.1913,45.655,5.9895,1.0122e+05,0.13351,295.98,0.9391,-0.009496,0
1.1912,45.406,5.8305,1.0121e+05,0.13273,295.99,0.92309,-0.011562,0
1.1911,45.256,5.6834,1.0121e+05,0.13225,296,0.90564,-0.013773,0
1.191,45.186,5.5408,1.012e+05,0.13199,296,0.88667,-0.016124,0
1.1909,45.178,5.4052,1.0119e+05,0.13193,295.99,0.86614,-0.018611,0
1.1908,45.22,5.2687,1.0118e+05,0.132,295.99,0.84403,-0.021225,0
1.1907,45.302,5.1296,1.0117e+05,0.13219,295.98,0.82031,-0.023954,0
1.1906,45.417,4.9884,1.0116e+05,0.13248,295.97,0.795,-0.026783,0
1.1906,45.56,4.8398,1.0115e+05,0.13285,295.96,0.76815,-0.029692,0
1.1905,45.727,4.682,1.0113e+05,0.13328,295.95,0.73982,-0.032656,0
1.1904,45.913,4.5149,1.0112e+05,0.13378,295.94,0.7101,-0.035649,0
1.1902,46.118,4.3339,1.0111e+05,0.13432,295.93,0.67914,-0.038638,0
1.1901,46.338,4.134,1.011e+05,0.1349,295.92,0.64709,-0.041587,0
1.19,46.57,3.914,1.0108e+05,0.13552,295.91,0.61413,-0.044456,0
1.1899,46.814,3.6696,1.0107e+05,0.13617,295.89,0.58048,-0.047205,0
1.1898,47.064,3.3949,1.0106e+05,0.13684,295.88,0.54638,-0.049788,0
1.1897,47.319,3.0868,1.0104e+05,0.13752,295.87,0.51206,-0.052163,0
1.1896,47.575,2.7401,1.0103e+05,0.1382,295.86,0.47778,-0.054287,0
1.1895,47.826,2.3508,1.0102e+05,0.13887,295.85,0.44378,-0.056121,0
